line,category,dates_or_terms,support_status,support_note,text
10,document_metadata,May 2026,supported_with_note,Current file hash and git history place the active whitepaper after the May 2026 evidence updates.,**May 2026 revision**
12,document_metadata,2026-03-23,supported_with_note,"Nearest git commit is 0b6fa13 at 2026-03-23T02:08:10Z; line timestamp is 25 seconds earlier and should be treated as production metadata, not exact commit time.",**Originally published to production:** 2026-03-23 02:07:45 UTC
14,document_metadata,2026-05-31,supported_with_note,Current file hash and git history place the active whitepaper after the May 2026 evidence updates.,"**Current revision:** 2026-05-31, incorporating live Phase 1 testnet validator-list publication evidence and the Qwen3.6/SGLang deterministic replay artifacts."
22,other,,inventory,,"Post Fiat publishes every stage of each scoring round: raw evidence, a canonical snapshot, a pinned model/runtime manifest, per-validator scores with rationales from a self-hosted open-weight model, and a deterministic set-construction rule with explicit churn controls."
24,benchmark_or_reference,,inventory,,"The core technical requirement is rank-driven consensus stability: repeated executions on the same inputs must preserve pairwise rankings, top-k overlap, and inclusion decisions. The current validation uses Qwen/Qwen3.6-27B-FP8 through a pinned Modal/SGLang single-GPU stack; Appendix A reports exact replay on the saved XRPL UNL credibility benchmark and the 42-validator PFT Ledger task. These are single-stack proof-of-possibility results, not authority-transfer evidence."
26,phase1_publication,,supported_with_note,"Git history records scoring service commits for rounds 4, 5, 6, and 7 with VL sequences 2, 3, 4, and 5.","Deployment proceeds in phases. Phase 1 keeps foundation authority while publishing complete audit trails and is live on the public testnet, where rounds 4 through 7 completed with audit bundle CIDs, publication commits, and PFTL memo anchors. Phase 2 lets validators rerun scoring in shadow mode and measure convergence. Phase 3 transfers authoritative list content to validator-converged output and decentralizes publication infrastructure."
28,benchmark_or_reference,,inventory,,"The claim is narrow: validator-list publication can be made more auditable and contestable than today's opaque publisher process. It does not claim that model-assisted scoring has beaten simpler deterministic heuristics or that the current benchmark package justifies production authority transfer. Adjacent account-exclusion and Orchard/Halo2 privacy work exists in the broader `postfiatd` codebase, but it is covered in a [separate research note](/posts/orchard-privacy-research/) and is outside this paper's proof surface."
34,other,,inventory,,"Post Fiat turns validator-list publication from an opaque trust recommendation into a public evidence pipeline that validators can inspect, replay, challenge, and eventually recompute. Every inclusion decision has named inputs, a pinned scorer, a deterministic selector, signed artifacts, and an escalation path when reviewers disagree."
36,other,,inventory,,"Under a pinned SGLang single-GPU stack, the same snapshot and prompt can produce the same score map across repeated runs. The score still has to be judged; the gain is that the round becomes a replayable object rather than a private opinion."
40,other,,inventory,,"This belongs in a distinct Post Fiat network because validator-list publication is part of the network's trust product, not an external analytics feed. A standalone XRPL-side tool can advise a publisher; it cannot make artifact publication, shadow verification, on-chain anchoring, and validator convergence part of the ledger's default governance surface. The economic thesis is tied to adoption of a ledger with a visibly more legible validator-selection process, not to the mere existence of a scoring script."
51,other,,inventory,,## 1. Scope and Background
61,phase1_publication,2025,supported_with_note,"External-source date, not Post Fiat artifact provenance.","Lists are signed, versioned, sequenced, and expire. The 2025 default-UNL migration required operators to update both list URL and publisher key or risk falling out of sync.[4] That event demonstrated that publication infrastructure is part of the governance model, not merely a distribution mechanism."
75,other,,inventory,,"A recommended validator list involves two decisions: which candidates to include, and how to sign and distribute the result. In a publisher-managed model, the publisher holds private information — internal criteria, subjective judgments, compliance pressures, reputational priors — that network participants cannot observe. Participants see the published set but not the decision rule that produced it."
81,other,,inventory,,"Under a transparent model-assisted regime, participants can observe the raw evidence, the normalized scorer input, the model and runtime manifest, the scoring prompt, the model's output scores, and the deterministic selector that produces the final list. Governance choices still exist — what evidence to collect, how to normalize it, what prompt to use — but those choices become named, inspectable, reviewable artifacts rather than unobserved residuals."
87,other,,inventory,,"Publishing the full pipeline reduces discretion; it does not remove it. The foundation still chooses evidence sources, normalization rules, the scoring prompt, and the model. Those choices become explicit, versioned artifacts. Changing them requires a visible policy update, not a silent editorial adjustment."
96,other,,inventory,,- a published evidence-to-list pipeline is easier to inspect and challenge than opaque publisher discretion;
103,benchmark_or_reference,,inventory,,- that the current benchmark package is sufficient to justify production authority transfer;
109,other,,inventory,,"Validator-list publication already contains qualitative judgment: reputation, operational quality, independence, and legitimacy are weighed even when the rubric is unpublished. A published machine-assisted layer is justified only if it makes that judgment easier to audit, replay, contest, and compare."
111,other,,inventory,,"Operator independence illustrates the need. Two candidates can look similar on uptime, version freshness, and other raw metrics while differing materially in governance value: one may be a second validator behind an already represented operator, ASN, or hosting cluster, while another may be independently run, publicly accountable, and more valuable for set diversity despite slightly weaker headline numbers. A rigid rubric can count some of these fields, but it still needs a judgment layer to decide whether apparent diversity is real, whether identity evidence is substantive, and whether a borderline inclusion improves or worsens concentration risk. In XRPL-style publication today, those calls are implicit. Post Fiat makes them explicit on a published record."
113,future_gate,,inventory,,"The comparison classes must be concrete. A deterministic baseline would rank the same frozen snapshot using only published rules over agreement history, uptime, version freshness, identity continuity, and concentration caps. A human baseline would ask a small review committee to rank that same snapshot under the same evidence record. If model-assisted scoring cannot at least match those baselines on cutoff stability, contestability, and operational clarity, then the model layer has not earned authority. If a deterministic rules engine later proves equally effective on the same evidence packages, the deterministic path should be preferred."
121,other,,inventory,,"Every scoring round publishes its entire pipeline. ""The AI decided"" is not a sufficient explanation — a good round explains itself in artifacts."
137,other,,inventory,,"Missed rounds, failed publishes, stale manifests, or convergence drops degrade to the last known-good list or foundation publication. The system preserves continuity before novelty."
141,phase1_publication,,inventory,,"Phase 1 uses XRPL-style list publication as it already exists: signed lists, explicit publisher keys, sequence numbers, expirations, and standard retrieval paths."
147,other,,inventory,,Each scoring round is a pipeline reproducible from its published artifacts.
151,other,,inventory,,A round collects validator evidence from multiple sources:
155,other,,inventory,,"2. **Infrastructure diversity**: Validator IP addresses resolved via the peer-to-peer `/crawl` endpoint, mapped to Autonomous System Numbers using local BGP routing tables, and geolocated via IP geolocation services. Geolocation informs scoring but is excluded from published artifacts due to licensing constraints — ASN data, derived from public BGP tables, is published."
165,other,,inventory,,Raw evidence is transformed into a canonical scoring snapshot — the exact input to the scorer. The normalization step exists because raw evidence alone is insufficient for reproducibility: two operators consuming the same source data but transforming it differently are running different rounds.
167,other,,inventory,,"Each round publishes the raw evidence, the normalized snapshot, and the SHA-256 hash of the snapshot's canonical JSON serialization."
171,other,,inventory,,"A pinned open-weight model processes the normalized snapshot under a published scoring prompt. The prompt defines explicit scoring dimensions with weighting guidance — consensus performance (highest weight), operational reliability, software diligence, geographic and infrastructure diversity, identity and reputation, and observer-dependent metrics (lowest weight). The model outputs an integer score (0–100) and a short rationale per validator."
173,other,,inventory,,The final validator set is chosen by a deterministic selector operating on published scores.
181,other,,inventory,,"where U_t is the selected set at round t, U_{t-1} is the prior round's set, θ is a minimum score threshold, K is the maximum list size, and δ is the churn-control margin."
192,other,,inventory,,### 4.5 Publication artifacts
194,other,,inventory,,Each round publishes a bundle with full chain-of-custody:
197,other,,inventory,,round_t/
214,other,,inventory,,"Artifact bundles are pinned to IPFS, with the root CID anchored on-chain via a memo transaction. This makes equivocation — publishing different artifacts to different parties — materially harder."
238,other,,inventory,,"The model sits downstream of a fixed published snapshot and upstream of a deterministic selector. It cannot invent uptime or rewrite attestation data. The relevant comparison is published, replayable judgment over a common record versus partially opaque publisher discretion."
244,other,,inventory,,"The scoring prompt handles this through diversity bonuses rather than concentration penalties: validators in underrepresented geographies or ASNs receive upward adjustments, while validators in common configurations score on their individual merits. Concentration surfaces — country, ASN, cloud provider, datacenter, operator — are explicit, published, and reviewable."
267,other,,inventory,,4. **Observed churn across rounds**
281,other,,inventory,,External APIs should not be treated as authoritative for governance-critical rounds. Post Fiat uses self-hosted inference to control the full stack.
285,other,,inventory,,Thinking Machines Lab identified batch-size variance as a major source of nondeterministic inference and described batch-invariant kernels as a practical fix.[9] SGLang implements that fix in production-serving form: deterministic inference mode uses batch-invariant operators and supported attention backends so the same prompt is not pushed through a different floating-point reduction plan merely because other requests were batched beside it.[10][11]
289,other,,inventory,,"Numerical precision remains a real divergence source. Yuan et al. show that limited precision affects reproducibility, particularly for reasoning-style models, and propose mitigations such as LayerCast.[12] This is why the execution manifest is a first-class artifact — a weight hash alone is not enough. Reproducibility depends on the whole stack."
295,benchmark_or_reference,,supported_with_note,Referenced postfiatorg.github.io replay harness and artifacts exist locally and are under static/benchmarks for public serving.,"Post Fiat replicated the earlier XRPL UNL validator credibility benchmark using the saved 29-validator XRPL UNL cohort and the same domain-level scoring prompt. Appendix A.2 gives the full table; in short, 2,900 calls produced one unique score-map hash with zero score variance and zero raw-output variance under the pinned Modal/SGLang deterministic profile.[18][19]"
307,other,,inventory,,Each round publishes a full execution manifest. The active deterministic scoring manifest:
326,other,,inventory,,"Any change to model weights, engine version, quantization mode, or runtime flags produces a different manifest hash and is therefore a visibly different round."
334,other,,inventory,,"where d is a domain tag, v is a version byte, r is the round identifier, h is a content hash, and σ is a salt or auxiliary field."
338,other,,inventory,,"The implementation supports `replay_round(round_id)`, `rebuild_from_raw(round_id)`, and `dry_run`. If a round cannot be replayed from its own artifacts, it is not auditable."
391,other,,inventory,,"In Phase 1, the foundation is the sole scorer. Assurance comes from publishing the full pipeline: raw evidence, normalized snapshot, pinned execution manifest, scoring prompt, per-validator scores with rationales, deterministic selector output, and signed validator list. Anyone can inspect why a validator was included or excluded. The IPFS-pinned artifact bundle with an on-chain CID anchor makes equivocation — publishing different artifacts to different parties — detectable."
393,phase1_publication,2026-05-26T17:50:23Z,supported_with_note,"Public testnet_vl.json decodes to sequence 5, 20 validators, effective 2026-05-26T17:50:23Z.","This phase is live on the public testnet. The canonical signed testnet validator list is published at `https://postfiat.org/testnet_vl.json`; the decoded signed blob is sequence `5`, contains `20` validators, and is effective from `2026-05-26T17:50:23Z`. The public scoring configuration reports a `168` hour cadence, score cutoff `40`, max list size `20`, and minimum score gap `5`."
395,phase1_publication,,supported_with_note,"Git history records scoring service commits for rounds 4, 5, 6, and 7 with VL sequences 2, 3, 4, and 5.","The public rounds API shows repeated operation rather than a one-off demo. Rounds 4, 5, 6, and 7 completed successfully, producing validator-list sequences 2, 3, 4, and 5. Each round has a final audit bundle CID, a GitHub Pages publication commit, and a PFTL memo transaction hash."
401,other,,inventory,,Phase 2 must distinguish independent execution from copying the foundation's published output.
412,other,,inventory,,Several maturing verification technologies could strengthen Phase 2 assurance as they become production-ready for large models.
423,benchmark_or_reference,,inventory,,"Phase 3 should not be justified by a single same-stack benchmark. Before authority transfer, the project should be able to show all of the following:"
425,benchmark_or_reference,,inventory,,- repeated replay on many more rounds and snapshots than the current benchmark package;
427,other,,inventory,,"- adversarial testing around data curation, identity inflation, and social-gaming attempts;"
431,benchmark_or_reference,,inventory,,"Until that evidence exists, the current work is early benchmark success plus a credible audit architecture, not production-readiness proof."
439,other,,inventory,,"The foundation operates the scoring pipeline: collecting evidence from VHS and network crawl endpoints, normalizing it into a canonical snapshot, scoring validators via a self-hosted open-weight model on serverless GPU infrastructure, applying the deterministic selector, signing the validator list, and publishing the full round bundle to IPFS with an on-chain CID anchor."
445,other,,inventory,,"Validators independently rerun the same round using the published snapshot and manifest. Each validator runs a GPU sidecar with the pinned model and inference stack. The foundation's list remains authoritative, but validators commit to and reveal their own outputs so the network can measure:"
447,other,,inventory,,"- exact artifact matches,"
460,future_gate,,inventory,,"Publication authority includes snapshot assembly, round announcement, list signing, artifact hosting, and delivery path control. Phase 3B decentralizes these surfaces."
465,other,,inventory,,- Missed round → retain last known-good list.
467,other,,inventory,,"- Manifests diverge → treat round as diagnostic, not authoritative."
474,other,,inventory,,"| Phase 1 | Policy, execution, publication | Inspect and audit all artifacts |"
485,phase1_publication,,inventory,,"Validator-list scoring is periodic, structured, and batchable. The current testnet scoring service uses `prompts/scoring_v5.txt` with `Qwen/Qwen3.6-27B-FP8` through Modal/SGLang H100 inference. The earlier Qwen3.6 `scoring_v2` replay processed roughly 7,654 prompt tokens and 4,774 completion tokens in about 88 seconds on the pinned H100 profile; that remains benchmark context, not the current prompt contract. This is not a high-frequency workload — the public configuration currently targets a 168-hour cadence."
493,other,,inventory,,"Validator-list scoring has a structural economic advantage over most AI workloads: it runs a few times per month, not continuously. This makes serverless GPU infrastructure — where costs accrue only during active inference and scale to zero between rounds — a natural fit. For Phase 2 shadow verification, falling inference costs mean validators will increasingly be able to rerun scoring locally or on rented single-GPU infrastructure without maintaining a permanent datacenter-grade inference cluster."
503,other,,inventory,,"Validator-list publication is part of the base-layer trust product. Opaque publisher discretion leaves sophisticated users with a hidden governance dependency; published evidence, replayable scoring, signed artifacts, and validator shadow verification create a different trust surface."
505,other,,inventory,,"That is difficult to retrofit as a neutral add-on. An XRPL-side tool can recommend a better list, but the tool remains advisory unless the network's own operators, artifacts, and fallback rules treat it as the default publication process. Post Fiat can make the evidence bundle, scorer manifest, selected list, and publication record native to its operating model from the start."
515,other,,inventory,,"Post Fiat replaces opaque editorial selection with a public, replayable, model-assisted pipeline: collect evidence, normalize it canonically, pin the execution environment, score candidates under a published policy, select the set deterministically, publish the artifacts, and shift authority only after convergence is demonstrated."
517,phase1_publication,,supported_with_note,"Public testnet_vl.json decodes to sequence 5, 20 validators, effective 2026-05-26T17:50:23Z.","Current evidence supports that narrow claim. Appendix A reports exact replay under the pinned Qwen3.6/SGLang profile on both the saved XRPL UNL credibility cohort and the 42-validator PFT Ledger scoring task.[16][17][18][19] Section 9.1 documents live Phase 1 testnet publication through sequence 5, including completed public rounds 4 through 7 with audit bundle CIDs, publication commits, and PFTL memo transaction hashes. Together, this shows same-stack replayability and a functioning audit-publication loop, not production authority transfer."
529,benchmark_or_reference,,inventory,,The Qwen3-Next 80B result remains useful historical evidence: it showed that exact replay was possible under a pinned H200/SGLang setup. It is no longer the live manifest or the primary benchmark cited by this paper.
533,benchmark_or_reference,,inventory,,The current replay uses the saved 29-validator XRPL UNL cohort from the earlier benchmark and the same scoring prompt:
558,other,,inventory,,The single score-map hash for all 100 complete rounds was:
579,benchmark_or_reference,,inventory,,"This benchmark is deliberately simple: it tests whether a qualitative validator-credibility prompt can be replayed exactly across repeated calls. Under the pinned SGLang deterministic profile, it can."
583,other,,supported_with_note,Referenced dynamic-unl-scoring files exist locally; they are local/private repository evidence unless separately published.,"The PFT Ledger scoring task is larger than the domain-only XRPL credibility prompt. The replay below used the earlier `scoring_v2` contract, including dimension fields and a network summary.[16][17] The current live scoring service has moved to `prompts/scoring_v5.txt`; the replay remains evidence for deterministic execution under the pinned Qwen3.6/SGLang profile, not a claim that `scoring_v2` is the active production prompt."
599,other,,supported_with_note,Referenced dynamic-unl-scoring files exist locally; they are local/private repository evidence unless separately published.,The same deployment was also tested in thinking mode. Thinking mode remained deterministic but was rejected as the production default because it did not change the top-35 set and made the run roughly 4x slower with substantially more completion tokens.[16]
601,benchmark_or_reference,,inventory,,### A.4 What the benchmarks prove
603,benchmark_or_reference,,inventory,,"The benchmarks prove execution replayability under the pinned stack. They do not prove that the model's scoring policy is correct, that the prompt is optimal, or that all future hardware profiles will match bit-for-bit. They show that, once the input snapshot, prompt, model, and serving stack are fixed, SGLang deterministic inference can remove the random run-to-run variance that would otherwise undermine validator-list governance."
621,external_reference,2023,supported_with_note,"External-source date, not Post Fiat artifact provenance.","[7] Lewis-Pye, Andrew, and Tim Roughgarden. **Byzantine Generals in the Permissionless Setting**. arXiv:2101.07095 / 2023 revision."
639,benchmark_or_reference,"May 5, 2026",supported_with_note,Referenced dynamic-unl-scoring files exist locally; they are local/private repository evidence unless separately published.,"[16] `dynamic-unl-scoring` Qwen3.6 deployment research, inspected May 5, 2026. Review of `phase0/docs/Qwen36ModalFeasibility.md`, `phase0/docs/DeployQwen36_27B.md`, `phase0/docs/ModelQualityComparison_Qwen36_27B.md`, and `phase0/docs/Qwen36ThinkingModeComparison.md`."
641,benchmark_or_reference,"May 5, 2026; 2026",supported_with_note,Referenced dynamic-unl-scoring files exist locally; they are local/private repository evidence unless separately published.,"[17] `dynamic-unl-scoring` implementation artifacts, inspected May 5, 2026. Review of `infra/deploy_qwen36_endpoint.py`, `infra/deploy_endpoint.py`, and `phase0/results/modal/qwen36-27b-fp8/2026-04-30_qwen36-27b-fp8_scoring-v2/run_1.json` through `run_5.json`."
643,benchmark_or_reference,"May 5, 2026",supported_with_note,Referenced postfiatorg.github.io replay harness and artifacts exist locally and are under static/benchmarks for public serving.,"[18] `postfiatorg.github.io` XRPL UNL deterministic replay harness, inspected May 5, 2026. Review of `scripts/xrpl_validator_sglang_determinism.py`."
645,benchmark_or_reference,"May 5, 2026",supported_with_note,Referenced postfiatorg.github.io replay harness and artifacts exist locally and are under static/benchmarks for public serving.,"[19] `postfiatorg.github.io` XRPL UNL deterministic replay artifacts, generated May 5, 2026. Review of `static/benchmarks/xrpl-validator-sglang-determinism-20260505T205530Z.json`, `static/benchmarks/xrpl-validator-sglang-determinism-20260505T205530Z-summary.json`, and companion domain CSV."
