event_id,cluster_id,event_name,event_type,status,default_vote,amendment_id,controversy_score,signals,route_hint,evidence_grade,included_in_13_seed,independence_unit,source_ids,source_urls,description
known-fixenforcenftokentrustlinev2,nft,fixEnforceNFTokenTrustlineV2,amendment_candidate,Enabled,No,B32752F7DCC41FB86534118FC4EEC8F56E7BD0A7DB60FD73F93F257233C08E3A,23,known_bug|asset_control_or_compliance|follow_up_fix|new_financial_primitive|security_or_liveness|user_fund_or_accounting_risk|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixenforcenftokentrustlinev2|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Fix a bug where NFT transfer fees could bypass certain limitations on receiving tokens, specifically: Prevent an NFT issuer from receiving fungible tokens as transfer fees if the fungible tokens' issuer uses authorized trust lines and the NFT issuer's trust line is not authorized.Prevent an NFT issuer from receiving fungible tokens as transfer fees on a deep-frozen trust line. Without this amendment, NFT transfer fees could be paid to an NFT issuer circumventing these restrictions."
known-fixremovenftokenautotrustline,nft,fixRemoveNFTokenAutoTrustLine,amendment_candidate,Enabled,Yes,DF8B4536989BDACE3F934F29423848B9F1D76D09BE6A1FCFE7E7F06AA26ABEAD,22,known_bug|asset_control_or_compliance|follow_up_fix|new_financial_primitive|security_or_liveness|user_fund_or_accounting_risk,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixremovenftokenautotrustline|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Removes the tfTrustLine setting on non-fungible tokens, to protect against a denial of service attack on issuers using this flag. With this amendment enabled, a NFTokenMint transaction with the tfTrustLine flag enabled is considered invalid and cannot be confirmed by consensus; new NFToken objects cannot be minted with the flag. Without this amendment, an attacker could create new, meaningless fungible tokens and sell a NFToken back and forth for those tokens, creating many useless trust lines tied to the issuer and increasing the issuer's reserve requirement. This amendment does not change the code for NFToken objects that have already been minted. On test networks that enabled NFT support before this amendment, issuers who have already minted NFTokens with the tfTrustLine flag enabled are still vulnerable to the exploit even after the fixRemoveNFTokenAutoTrustLine amendment. This amendment has no effect unless either NonFungibleTokensV1 or NonFungibleTokensV1_1 is enabled. To protect issuers, this amendment should be enabled before NonFungibleTokensV1 or NonFungibleTokensV1_1."
incident-permission-delegation-vulnerability-2025,permissioned-access,PermissionDelegation vulnerability and validator no-vote response,vulnerability_response,prevented before mainnet activation,No,,21,known_bug|obsolete_or_disabled|security_or_liveness|asset_control_or_compliance|public_debate|user_fund_or_accounting_risk,REJECT,A,True,real_public_incident_or_release_response,xrpl_permission_delegation_vulnerability_2025|xrpl_rippled_2_6_1|xrpl_known_amendments,https://xrpl.org/blog/2025/vulnerabilitydisclosurereport-bug-sep2025|https://xrpl.org/blog/2025/rippled-2.6.1|https://xrpl.org/resources/known-amendments,"Official disclosure says PermissionDelegation could let one account charge fees to another, validators were advised to vote No, and 2.6.1 disabled the amendment."
known-fixnonfungibletokensv1-2,nft,fixNonFungibleTokensV1_2,amendment_candidate,Enabled,No,73761231F7F3D94EC3D8C63D91BDD0D89045C6F71B917D1925C01253515A6669,20,known_bug|asset_control_or_compliance|follow_up_fix|new_financial_primitive|user_fund_or_accounting_risk|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixnonfungibletokensv1_2|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Amendment fixNonFungibleTokensV1_2 is a combination of bug fixes that have been individually merged into feature/nft-fixes through the pull request process. Fix Unburnable NFT Currently, an NFT cannot be burned when it has over 500 offers. To remove this restriction, this change deletes exactly 500 offers upon burning the NFT, leaving any remaining offers untouched. This addresses a concern where the issuer account cannot burn an NFT that has enabled the lsfBurnable flag, due to the exceeding number of offers. See PR 4346. Fix 3 Issues Around NFToken Offer Acceptance Issue 1: Resolve situation where an account is unable to broker a deal due to an erroneous insufficient funds condition. Issue 2: Resolve situation where a buyer has insufficient funds to cover a transfer fee on the account. Issue 3: Enable currency issuers to buy and sell NFTs using their own currency. See PR 4380. Prevent Brokered Sale of NFToken to Owner (fix #4374) This fix prevents a broker from selling an NFT to the account that already owns the token. See Issue 4374. Only allow the destination to settle an NFT offer through brokerage (fix #4373) If you set a destination on an NFT offer, only that destination can settle through brokerage (fix #4373). See Issue 4373."
known-fixenforcenftokentrustline,nft,fixEnforceNFTokenTrustline,amendment_candidate,Enabled,No,763C37B352BE8C7A04E810F8E462644C45AFEAD624BF3894A08E5C917CF9FF39,20,known_bug|asset_control_or_compliance|follow_up_fix|new_financial_primitive|user_fund_or_accounting_risk|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixenforcenftokentrustline|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Fixes two bugs relating to the handling of NFT transfer fees and trust lines: Adds a check to NFTokenAcceptOffer transactions to ensure that the minter has a trust line to accept the transfer fee. Without this amendment, the check only applies when an NFT trade offer is created, not when the offer is accepted; as a result, if a necessary trust line is removed in between creating and accepting the offer, the trust line is inappropriate re-created when the offer is accepted. With this amendment, the transaction to accept the NFT trade offer fails if the minter no longer has a trust line to accept the transfer fee. (For more detail, see issue #4925.)Adjusts a check for the presence of a trust line when the minter of the NFT is also the issuer of the fungible token that would be paid as a transfer fee. Without this amendment, the NFTokenCreateOffer transaction fails with the result code tecNO_LINE if the NFT in question has a transfer fee, the offer amount is denominated in fungible tokens issued by the minter, and the account placing the offer does not have a trust line for those tokens. With the amendment, the offer can be created successfully. (For more detail, see issue #4941.)"
known-fixammv1-2,amm,fixAMMv1_2,amendment_candidate,Enabled,No,1E7ED950F2F13C4F8E2A54103B74D57D5D298FFDBD005936164EE9E6484C438C,20,known_bug|asset_control_or_compliance|follow_up_fix|new_financial_primitive|user_fund_or_accounting_risk|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixammv1_2|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,Fixes two bugs in Automated Market Maker (AMM) transaction processing: Fixes a bug that causes AMMWithdraw to not properly apply a reserve check before creating trust lines in some cases.Fixes a bug in payment processing that causes cross-currency payments not to use the full amount of liquidity available from the combination of AMM and order books in some cases.
known-fixammclawbackrounding,amm,fixAMMClawbackRounding,amendment_candidate,Open for Voting,No,5E9586DB3D765B4C5794658FB6BB385071E9838DF4016027E6E26820C8526724,20,asset_control_or_compliance|follow_up_fix|new_financial_primitive|security_or_liveness|user_fund_or_accounting_risk|active_vote_surface|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixammclawbackrounding|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Fixes an accounting error that can occur when performing an AMMClawback transaction on the last LP token holder. Due to rounding errors, the LPTokenBalance of the AMM may not match the holder's trust line balance. This amendment adjusts the LPTokenBalance to match the trust line balance before the clawback, so invariant checks pass without errors."
known-fixnftokennegoffer,nft,fixNFTokenNegOffer,amendment_candidate,Obsolete,No,36799EA497B1369B170805C078AEFE6188345F9B3E324C21E9CA3FF574E3C3D6,19,known_bug|follow_up_fix|new_financial_primitive|obsolete_or_disabled|user_fund_or_accounting_risk|default_no_surface,REJECT,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixnftokennegoffer|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"This amendment fixes a bug in the NonFungibleTokensV1 amendment code where NFTs could be traded for negative amounts of money. Without this fix, users could place and accept an offer to buy or sell a NFToken for a negative amount of money, which resulted in the person ""buying"" the NFT also receiving money from the ""seller"". With this amendment, NFT offers for negative amounts are considered invalid. This amendment has no effect unless the NonFungibleTokensV1 amendment is enabled. This amendment is obsolete because its effects are included as part of NonFungibleTokensV1_1."
known-fixcleanup3-1-3,permissioned-access,fixCleanup3_1_3,amendment_candidate,Open for Voting,Yes,303ACB16CF8DBD3B5C34F131A9D19A7DE01AE05F480A8A682B869D1B4AAC8CFC,19,asset_control_or_compliance|follow_up_fix|new_financial_primitive|security_or_liveness|user_fund_or_accounting_risk|active_vote_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixcleanup3_1_3|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"This amendment is a collection of fixes for NFTs, Permissioned Domains, Vaults, and the Lending Protocol: Fixes an issue with expired NFTokenOffer entries remaining on the ledger. With this amendment enabled, using the NFTokenAcceptOffer transaction on an expired NFTokenOffer now deletes it as part of transaction processing.Adds an invariant check to ensure Permissioned Domains aren't modified by failed transactions.Fixes a trust line token limit check that was skipped when withdrawing vault assets. With this amendment enabled, VaultWithdraw transactions that specify either vault shares or vault assets will respect the trust line token limit of the destination address.Fixes loan accounting information not updating in its associated Loan, LoanBroker, and Vault entries if the loan was defaulted, impaired, or unimpaired.Changes a LoanPay error to return tecNO_PERMISSION instead of temINVALID_FLAG when attempting to overpay on a loan that doesn't permit overpayments.Adds an additional check for LoanBroker invariants to ensure the listed CoverAvailable exactly matches the assets held in the associated pseudo-account."
incident-amm-vote-reversal-2024,amm,AMM / XLS-30 activation vote reversal,vote_reversal,historical incident,,,19,public_vote_reversal|known_bug|public_debate|user_fund_or_accounting_risk|new_financial_primitive,DELAY_FOR_FIX,B,True,real_public_incident_or_release_response,cryptobasic_amm_vote_reversal_2024|xrpl_known_amendments|xrpl_amendments_process,https://thecryptobasic.com/2024/02/07/xrpl-validators-revoke-votes-on-xls-30d-amm-not-launching-on-feb-14/|https://xrpl.org/resources/known-amendments|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,External reporting recorded validators revoking AMM support after pre-activation testing surfaced an issue.
incident-amm-post-launch-pool-discrepancy-2024,amm,AMM post-launch pool discrepancy,post_launch_bug,historical incident,,,18,known_bug|follow_up_fix|public_debate|user_fund_or_accounting_risk|new_financial_primitive,DELAY_FOR_FIX,A,True,real_public_incident_or_release_response,xrpl_amm_status_update_2024|xrpl_amendments_process,https://xrpl.org/blog/2024/amm-status-update|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Official update said AMM went live on 2024-03-22, pool discrepancies were found, and a fix required another amendment."
known-enforceinvariants,issuer-control,EnforceInvariants,amendment_candidate,Enabled,Yes,DC9CA96AEA1DCF83E527D1AFC916EFAF5D27388ECA4060A88817C1238CAEE0BF,18,known_bug|asset_control_or_compliance|new_financial_primitive|security_or_liveness|user_fund_or_accounting_risk,HOLD_FOR_CHALLENGE,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#enforceinvariants|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Adds sanity checks to transaction processing to ensure that certain conditions are always met. This provides an extra, independent layer of protection against bugs in transaction processing that could otherwise cause exploits and vulnerabilities in the XRP Ledger. Future versions of rippled may add more invariants without additional amendments. Introduces two new transaction error codes, tecINVARIANT_FAILED and tefINVARIANT_FAILED. Changes transaction processing to add the new checks. Examples of invariant checks: The total amount of XRP destroyed by a transaction must match the transaction cost exactly.XRP cannot be created.AccountRoot objects in the ledger cannot be deleted unless DeletableAccounts is enabled. (See also: Deleting Accounts.)An entry in the ledger cannot change its type. (The LedgerEntryType field is immutable.)There cannot be a trust line for XRP."
known-depositauth,custody-timing,DepositAuth,amendment_candidate,Enabled,Yes,F64E1EABBE79D55B3BB82020516CEC2C582A98A6BFE20FBE9BB6A0D233418064,18,known_bug|follow_up_fix|new_financial_primitive|security_or_liveness|user_fund_or_accounting_risk,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#depositauth|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Adds a new account flag, DepositAuth, which lets an account strictly reject any incoming money from transactions sent by other accounts. Businesses can use this flag to comply with strict regulations that require due diligence before receiving money from any source. When an account enables this flag, Payment transactions fail if the account is the destination, regardless of whether the Payment would have delivered XRP or a token. EscrowFinish and PaymentChannelClaim transactions fail if the account is the destination unless the destination account itself sends those transactions. If the Checks amendment is enabled, the account can receive XRP or tokens by sending CheckCash transactions. As an exception, accounts with DepositAuth enabled can receive Payment transactions for small amounts of XRP (equal or less than the minimum account reserve) if their current XRP balance is below the account reserve. Also fixes a bug in the EscrowCreate and PaymentChannelCreate transactions where they mistakenly enforced the Disallow XRP flag, which is meant to be a non-binding advisory flag. (By not enforcing Disallow XRP in the ledger itself an account can still receive the necessary XRP to meet its account reserve and pay transaction costs.)"
incident-batch-vulnerability-2026,batch,Batch vulnerability and validator no-vote response,vulnerability_response,prevented before mainnet activation,No,,17,known_bug|obsolete_or_disabled|security_or_liveness|public_debate|user_fund_or_accounting_risk,REJECT,A,True,real_public_incident_or_release_response,xrpl_batch_vulnerability_2026|xrpl_rippled_3_1_1|xrpl_known_amendments,https://xrpl.org/blog/2026/vulnerabilitydisclosurereport-bug-feb2026|https://xrpl.org/blog/2026/rippled-3.1.1|https://xrpl.org/resources/known-amendments,"Official disclosure says a signature-validation flaw could have allowed unauthorized inner transaction execution, UNL validators were advised to vote No, and 3.1.1 marked Batch and fixBatchInnerSigs unsupported."
known-fixtokenescrowv1,mpt,fixTokenEscrowV1,amendment_candidate,Open for Voting,No,32B8614321F7E070419115ABEAB1742EA20F3E3AF34432B5E2F474F8083260DC,17,asset_control_or_compliance|follow_up_fix|new_financial_primitive|user_fund_or_accounting_risk|active_vote_surface|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixtokenescrowv1|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Fixes an accounting error in MPT escrows. Specifically, when an escrow unlocks MPTs that have a transfer fee, the system incorrectly reduces the MPT issuer's locked token balance by the gross amount (without fees) rather than the net amount (with fees). This leads to discrepancies in the token's total supply accounting. This amendment ensures that when escrowed MPTs are unlocked, the issuer's locked amount is reduced by the net amount, and the total supply is reduced by the transfer fees."
known-fixnftokenpagelinks,nft,fixNFTokenPageLinks,amendment_candidate,Enabled,No,C7981B764EC4439123A86CC7CCBA436E9B3FF73B3F10A0AE51882E404522FC41,16,known_bug|follow_up_fix|new_financial_primitive|security_or_liveness|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixnftokenpagelinks|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"This amendment fixes a bug that can cause NFT directories to have missing links in the middle of the directory chain. It also introduces invariant checks that can prevent similar types of corruption from occurring in the future, and introduces a new transaction type: LedgerStateFix transactions can be used to repair corruptions in ledger data. With this amendment enabled, you can use a LedgerStateFix transaction to repair a broken link in NFT directories. In the case that future bugs cause new types of ledger corruption, this transaction type can be extended to repair the other types of corruption as well. Without this amendment, it is possible in specific circumstances to delete the last page of an NFT directory, then later create a new last page that is missing a link to the previous page. For a detailed description of the scenario that can cause this problem, see PR #4945. With this amendment, the bug that caused that corruption is fixed; additionally, a new invariant check ensures that other bugs cannot remove the last page inappropriately."
known-fixbatchinnersigs,batch,fixBatchInnerSigs,amendment_candidate,Obsolete,No,267624F8F744C4A4F1B5821A7D54410BCEBABE987F0172EE89E5FC4B6EDBC18A,16,known_bug|follow_up_fix|obsolete_or_disabled|security_or_liveness|default_no_surface,REJECT,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixbatchinnersigs|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"This amendment fixes an issue where inner transactions of a Batch transaction would be flagged as having valid signatures. Since inner transactions aren't signed directly, they should never have valid signatures. This amendment was disabled in v3.1.1 due to a bug. It will be replaced by BatchV1_1 in a future release."
release-rippled-2-6-1-permission-delegation-disabled,permissioned-access,rippled 2.6.1 disables PermissionDelegation,release_response,release response,No,,15,known_bug|obsolete_or_disabled|security_or_liveness|asset_control_or_compliance,REJECT,A,False,real_public_incident_or_release_response,xrpl_rippled_2_6_1,https://xrpl.org/blog/2025/rippled-2.6.1,"Release notes say PermissionDelegation was disabled after a discovered bug, with a replacement planned."
known-nonfungibletokensv1-1,nft,NonFungibleTokensV1_1,amendment_candidate,Enabled,No,32A122F1352A4C7B3A6D790362CC34749C5E57FCE896377BFDC6CCD14F6CD627,15,asset_control_or_compliance|follow_up_fix|new_financial_primitive|user_fund_or_accounting_risk|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#nonfungibletokensv1_1|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Adds native support for non-fungible tokens, including fixes to several issues that were discovered after NonFungibleTokensV1. This amendment combines the effects of the following amendments, rendering the individual amendments obsolete: NonFungibleTokensV1fixNFTokenNegOfferfixNFTokenDirV1 It has no other effects. The fixRemoveNFTokenAutoTrustLine fixes an known issue with this amendment. When creating a new test network, you should make sure that these amendments should be enabled together or the fix amendment is enabled first."
known-fixinvalidtxflags,permissioned-access,fixInvalidTxFlags,amendment_candidate,Enabled,No,8EC4304A06AF03BE953EA6EDA494864F6F3F30AA002BABA35869FBB8C6AE5D52,15,asset_control_or_compliance|follow_up_fix|new_financial_primitive|security_or_liveness|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixinvalidtxflags|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Adds flag checks for CredentialCreate, CredentialAccept, CredentialDelete, and SignerListSet transactions. With this amendment enabled, these transactions will return a temINVALID_FLAG error if they include a flag that doesn't exist, or a contradictory combination of flags."
known-fixfrozenlptokentransfer,amm,fixFrozenLPTokenTransfer,amendment_candidate,Enabled,No,83FD6594FF83C1D105BD2B41D7E242D86ECB4A8220BD9AF4DA35CB0F69E39B2A,15,asset_control_or_compliance|follow_up_fix|new_financial_primitive|user_fund_or_accounting_risk|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixfrozenlptokentransfer|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"This amendment fixes a loophole that enabled blacklisted accounts to transfer frozen LP tokens through alternative mechanisms, such as such as payments, checks, offers, or NFTs. With this amendment enabled, if an LP token is associated with a liquidity pool that contains at least one frozen asset, the LP token is also frozen. This means: The holder can't send the frozen LP token to other accounts.The holder can receive frozen LP tokens, but can't send them out (similar to frozen trust lines)."
known-fix1781,custody-timing,fix1781,amendment_candidate,Enabled,Yes,25BA44241B3BD880770BFA4DA21C7180576831855368CBEC6A3154FDE4A7676E,15,known_bug|follow_up_fix|new_financial_primitive|user_fund_or_accounting_risk,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fix1781|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Fixes a bug where certain XRP endpoints were not checked when detecting circular paths. Without this amendment, it is possible to have a payment path where the input to the path is XRP, and an intermediate path step also outputs XRP. This is a ""loop"" payment, and the payment engine disallows such paths because they can have different results when executed forward compared to backwards. With this amendment, those payments fail with the temBAD_PATH_LOOP result code instead."
